"clues","entresidencia","munresidencia","sum"
"ZSSSA000695",21,21,2
"DGSSA001545",10,39,2
"NTSSA001845",25,14,2
"ZSSSA001861",32,16,29
"TSSSA002805",19,48,1
"VZSSA003595",99,999,3
"PLSSA002106",21,53,3
"CMSSA001023",14,14,2
"CSSSA007540",20,999,1
"PLSSA002362",19,39,1
"VZSSA016035",30,146,2
"SPSSA001703",24,999,1
"TLSSA001376",21,15,1
"PLSSA003646",21,151,1
"PLSSA003646",20,48,2
"CHSSA000676",25,1,1
"MNSSA002965",13,82,1
"OCSSA003826",20,67,8
"DGSSA000676",32,56,1
"ASSSA000025",33,999,3
"PLSSA000863",14,5,6
"MCSSA001636",19,24,1
"GTSSA017390",11,20,9
"MSSSA002385",21,49,2
"MCSSA010251",9,8,1
"MSSSA000355",7,999,1
"ZSSSA012450",32,51,1239
"PLSSA003132",13,999,1
"JCSSA005584",5,2,1
"SLSSA018265",21,6,1
"DFSSA003162",15,99,18
"OCSSA000985",20,442,2
"CLSSA000231",10,5,2
"JCSSA001401",6,2,5
"HGSSA015503",30,76,1
"ZSSSA000695",32,36,1
"MCSSA001682",9,999,11
"MCSSA001636",15,105,20
"PLSSA008512",25,12,3
"PLSSA008512",13,3,1
"MNSSA002446",21,66,1
"MNSSA016533",16,67,2554
"VZSSA003595",30,148,1
"PLSSA008434",21,210,1
"JCSSA007066",14,34,4
"PLSSA008485",21,211,35
"ASSSA000025",11,37,1
"MSSSA002740",21,112,3
"SRSSA000562",26,72,1
"QTSSA001052",13,77,1
"MSSSA002361",12,55,2
"DFSSA003664",9,14,238
"DGSSA001825",10,14,1
"VZSSA000310",1,10,2
"DFSSA000840",9,5,31789
"VZSSA003740",15,57,2
"DFSSA003722",31,31,2
"GTSSA001092",11,27,1
"CSSSA007540",7,107,14
"CLSSA001136",31,50,1
"CSSSA018776",7,21,5
"JCSSA000503",21,71,1
"PLSSA008641",21,75,486
"PLSSA008881",21,119,19
"JCSSA003986",9,10,2
"HGSSA015532",15,999,2
"NTSSA002084",32,999,8
"MCSSA007982",21,999,3
"MSSSA001504",17,32,2
"JCSSA001401",16,86,1
"TCSSA001052",7,88,12
"OCSSA000640",20,409,1
"DGSSA000116",8,26,1
"PLSSA000863",9,3,1
"GRSSA004753",15,3,1
"MCSSA010251",9,12,1
"SPSSA000064",15,57,1
"NTSSA000013",8,1,1
"OCSSA016764",20,130,1
"MCSSA008945",15,89,1
"GTSSA016842",99,99,1
"VZSSA004674",20,20,16
"OCSSA003406",20,378,343
"DFSSA003722",25,6,2
"JCSSA002224",28,999,16
"DFSSA018166",12,29,2
"VZSSA002965",30,193,1
"MSSSA000961",16,16,3
"MCSSA014143",15,94,2
"MNSSA000310",16,102,4
"JCSSA001454",14,26,2
"ZSSSA012450",32,44,155
"GTSSA002096",14,14,6
"PLSSA000081",12,48,1
"ZSSSA000152",14,101,7
"TLSSA017913",29,36,223
"OCSSA016764",20,513,12
"VZSSA010212",30,32,2
"ZSSSA013143",19,33,1
"DFSSA003956",15,110,45
"PLSSA003132",21,164,2
"GTSSA016842",10,35,4
"DFSSA000053",15,48,1
"TCSSA001040",4,4,20
"OCSSA018473",20,512,3
"JCSSA002224",25,25,16
"HGSSA004093",30,195,1
"GTSSA004003",11,13,1
"GRSSA000022",12,1,28042
"OCSSA003715",15,15,6
"PLSSA004404",21,204,738
"MCSSA001636",13,48,10
"GTSSA017443",25,999,1
"VZSSA004744",15,109,1
"TCSSA004296",28,14,5
"OCSSA019132",20,352,2
"TLSSA001376",21,50,1
"MSSSA002740",12,7,2
"VZSSA001121",23,3,1
"SRSSA001851",32,23,1
"MCSSA002872",15,112,544
"PLSSA008485",21,21,3
"TLSSA017831",9,5,7
"JCSSA007066",32,52,1
"QTSSA000475",16,69,1
"NLSSA004046",19,49,302
"JCSSA007066",32,35,3
"CLSSA000914",5,25,11568
"ZSSSA013172",1,11,1
"DFSSA004043",99,999,9962
"MCSSA006430",17,12,2
"ASSSA000655",14,23,1
"VZSSA002393",30,115,1
"JCSSA004930",14,96,1
"HGSSA002162",30,41,1
"MSSSA000466",11,11,8
"DFSSA004002",16,77,2
"TCSSA001040",27,14,372
"DFSSA018154",20,20,1
"MNSSA001874",16,69,2
"CSSSA000412",7,8,14441
"MCSSA006430",15,110,3
"DFSSA003944",15,120,19
"MCSSA009826",9,7,1
"OCSSA002052",20,322,1
"TCSSA001076",7,109,1
"GTSSA016796",16,67,2
"ZSSSA000152",15,5,1
"SPSSA000064",15,31,1
"PLSSA004071",21,108,1
"PLSSA015551",27,1,1
"GTSSA003081",14,93,1
"MCSSA001011",15,41,2
"ZSSSA013143",32,20,288
"CSSSA018776",7,2,4
"SLSSA018113",14,61,1
"MCSSA006780",19,19,4
"OCSSA020100",32,999,1
"CLSSA002710",5,25,22
"GTSSA004650",11,40,8
"GTSSA017414",99,999,1
"GTSSA003151",11,12,1
"VZSSA015661",30,23,1
"HGSSA002751",13,13,2285
"SRSSA002295",99,99,2
"MNSSA002813",16,30,1
"GTSSA017344",16,21,8
"MSSSA000080",16,53,1
"MCSSA018062",22,999,1
"VZSSA004860",30,119,2
"JCSSA002195",34,999,71
"MCSSA002872",15,26,1
"TLSSA000944",29,57,1
"QTSSA000475",11,4,2
"MCSSA018750",20,25,1
"DFSSA003722",15,87,1
"DFSSA000835",9,2,10
"QTSSA001740",27,14,1
"ZSSSA000572",14,60,1
"SRSSA001851",25,12,11
"PLSSA008425",3,8,1
"CSSSA007540",7,106,1
"VZSSA010212",30,15,1
"VZSSA015871",30,89,403
"TCSSA001040",7,49,1
"NTSSA002084",5,999,1
"VZSSA001121",14,14,1
"TSSSA002431",30,205,18
"MSSSA000355",24,999,1
"HGSSA002430",12,66,3
"SPSSA002770",28,28,1
"ZSSSA000152",32,37,59
"JCSSA002562",33,999,5
"JCSSA003496",7,105,1
"SRSSA001105",12,30,1
"VZSSA007701",30,44,35
"MNSSA001891",30,999,1
"GTSSA016912",9,5,1
"TSSSA018975",28,7,44
"VZSSA003880",30,69,5
"GRSSA001550",15,99,1
"VZSSA002982",30,73,3
"OCSSA016764",30,206,2
"DFSSA003722",15,78,1
"OCSSA018736",20,12,1
"VZSSA007754",30,30,8012
"PLSSA015551",8,53,1
"SLSSA000024",20,1,2
"NTSSA000474",14,98,1
"OCSSA021116",19,39,1
"MCSSA001636",12,12,6
"HGSSA015532",13,65,617
"DFSSA002066",17,26,1
"VZSSA006313",30,2,1
"ZSSSA000152",20,170,1
"DFSSA002066",9,9,84631
"DFSSA002066",9,17,2
"TSSSA002810",24,24,16
"GTSSA002101",11,41,17
"JCSSA003986",14,64,15282
"DGSSA017662",10,10,4483
"GTSSA017414",9,3,7
"QRSSA018001",20,999,2
"NLSSA014295",19,34,2
"SPSSA002654",26,26,3
"YNSSA000565",32,999,11
"OCSSA000640",30,210,41
"OCSSA019132",15,42,1
"JCSSA006890",14,101,16
"SRSSA000504",99,999,10
"ZSSSA013172",18,18,2
"TSSSA002443",13,48,1
"SLSSA018265",30,999,1
"ZSSSA000695",5,5,17
"PLSSA000513",30,102,1
"MSSSA002740",16,38,1
"CSSSA000832",7,71,3
"ASSSA000025",19,39,6
"DFSSA003990",15,120,2
"OCSSA001463",20,405,5
"QTSSA001052",15,36,1
"CSSSA001030",7,41,1973
"MNSSA001862",16,113,1
"OCSSA000985",20,146,1
"PLSSA004404",21,88,5
"HGSSA002430",15,84,50
"TSSSA002431",30,76,1
"OCSSA019873",20,475,1
"JCSSA013815",18,9,1
"HGSSA002430",30,161,1
"TSSSA001772",28,28,25670
"OCSSA002320",20,207,1401
"MCSSA006780",15,22,15
"JCSSA007066",32,42,8
"JCSSA007042",21,39,1
"NTSSA016060",16,52,1
"GTSSA004650",22,16,2
"SLSSA018113",26,42,6
"OCSSA019873",1,4,1
"TLSSA000261",28,7,1
"MCSSA018750",15,66,1
"MCSSA018680",1,999,1
"OCSSA000524",20,486,128
"SPSSA017313",8,19,4
"PLSSA015534",29,57,1
"JCSSA005135",14,59,526
"VZSSA001121",30,2,1
"CHSSA001755",8,31,2
"HGSSA002162",12,12,2
"MCSSA018774",9,10,1
"GTSSA001454",11,12,10
"GTSSA000310",15,24,1
"NTSSA000013",17,7,1
"MSSSA002863",13,13,3
"DFSSA003162",16,77,1
"DFSSA003162",15,37,53
"OCSSA000985",20,84,50
"MSSSA002863",21,87,8
"MCSSA000224",15,91,2
"NLSSA003911",10,10,1
"NTSSA000474",14,73,1
"TCSSA001081",30,999,17
"MCSSA010222",16,80,1
"JCSSA007066",11,22,1
"CCSSA017682",4,8,1
"MCSSA018733",15,23,1
"ASSSA000030",23,999,1
"MCSSA001682",9,7,8
"JCSSA002200",14,36,5
"MCSSA001682",15,14,1
"DFSSA000840",15,17,3
"PLSSA000612",16,16,1
"MCSSA018750",15,28,1
"HGSSA015520",24,37,15
"PLSSA016835",99,99,1
"ASSSA000614",5,5,1
"DFSSA003162",30,39,2
"MNSSA001891",16,72,18
"DFSSA003710",21,103,1
"PLSSA008641",30,10,1
"MCSSA006780",15,50,460
"ASSSA000054",1,4,66
"PLSSA015230",21,119,9
"MCSSA008320",15,5,177
"JCSSA007042",6,7,4
"PLSSA004404",21,78,36
"JCSSA007836",11,11,2
"JCSSA000894",16,108,40
"SPSSA000064",30,193,1
"DGSSA000676",11,7,7
"PLSSA005104",21,7,1
"VZSSA015895",20,20,1
"OCSSA020025",30,141,2
"MNSSA000170",16,12,84
"MNSSA002813",16,44,1
"CSSSA004945",7,48,8
"OCSSA020655",20,70,1
"OCSSA020655",20,300,36
"OCSSA000524",20,55,380
"DGSSA017295",10,5,62
"MCSSA010222",29,12,1
"PLSSA001575",21,73,1
"PLSSA008572",28,6,1
"MNSSA003945",14,30,1
"MSSSA002863",12,30,2
"DFSSA018166",15,114,6
"ZSSSA000613",14,65,1
"CHSSA001603",8,31,1
"MNSSA001862",16,2,1
"OCSSA002320",20,507,1
"QRSSA018001",23,3,3
"MSSSA002863",21,136,1
"DFSSA004142",16,102,1
"MCSSA010053",15,12,2
"GTSSA017443",30,193,1
"PLSSA004503",21,21,3338
"DFSSA003956",14,14,3
"GTSSA003793",14,72,5
"VZSSA003595",30,122,50
"JCSSA007066",14,7,39
"GTSSA006495",10,28,1
"PLSSA016811",21,7,8
"ASSSA000054",18,1,1
"PLSSA015411",21,152,1
"PLSSA000612",10,10,1
"MCSSA018412",17,6,1
"TCSSA001052",7,11,1
"PLSSA008881",21,38,2
"OCSSA000121",20,416,2
"ASSSA000025",9,8,1
"SPSSA001703",24,24,4759
"HGSSA015503",13,60,6
"PLSSA017021",21,57,470
"MCSSA018750",15,104,7
"GTSSA004650",16,73,1
"GTSSA016994",11,27,3
"SPSSA017313",21,100,1
"PLSSA003646",21,150,29
"HGSSA002430",13,62,69
"MCSSA010222",15,59,5
"PLSSA008881",21,81,2
"CLSSA001136",5,31,1
"ASSSA000025",19,12,1
"JCSSA006890",14,120,70
"MCSSA010222",17,33,1
"VZSSA004744",30,150,10
"OCSSA020655",20,20,14010
"PLSSA016806",21,188,1
"HGSSA002430",13,71,100
"MCSSA010053",9,7,1
"MNSSA001862",16,75,1
"ZSSSA000695",10,29,1
"OCSSA003715",20,211,38
"MCSSA007982",9,14,1
"PLSSA008974",21,179,1
"VZSSA004032",30,3,4
"PLSSA003260",21,197,1
"MCSSA018062",15,7,1
"VZSSA003595",1,999,1
"VZSSA002306",30,124,157
"OCSSA020100",30,210,1
"OCSSA019873",20,30,1
"JCSSA013050",14,40,21
"GTSSA002101",13,999,1
"MCSSA008320",9,9,7
"PLSSA008485",21,186,130
"ZSSSA013172",25,25,2
"OCSSA000121",21,999,4
"PLSSA003552",21,99,6
"MCSSA010222",13,5,2
"TLSSA017831",29,28,3
"PLSSA016893",21,151,35
"JCSSA003496",14,35,1
"MSSSA002863",14,49,1
"VZSSA002970",13,63,1
"SRSSA001851",16,69,3
"DFSSA003541",18,999,1
"BCSSA018046",3,3,1
"DFSSA003961",14,39,3
"DFSSA004002",30,999,75
"JCSSA003986",11,11,447
"CHSSA000565",8,52,1
"YNSSA000570",31,102,37
"TSSSA018070",22,999,4
"PLSSA000834",30,128,2
"CSSSA017731",7,7,1970
"MSSSA000355",9,7,1
"VZSSA001150",7,59,1
"QTSSA001052",22,1,17
"GRSSA004753",16,66,1
"DGSSA000191",10,3,161
"OCSSA003715",20,509,1125
"ZSSSA000700",1,3,1
"PLSSA015230",27,27,1
"MCSSA014101",15,13,9
"YNSSA013440",31,93,4
"SPSSA001102",22,8,15
"TLSSA017925",9,999,9
"MCSSA000236",15,57,7
"SRSSA001851",9,7,2
"VZSSA007882",30,28,2
"SRSSA001851",7,7,22
"PLSSA016806",13,999,3
"VZSSA003740",30,16,3
"PLSSA008425",21,34,3
"PLSSA003646",25,999,6
"OCSSA003715",20,529,8
"TLSSA001376",20,243,1
"HGSSA004093",13,71,1
"MNSSA004044",16,18,2
"HGSSA002430",13,31,75
"TLSSA000261",29,10,7
"JCSSA003250",7,51,1
"DFSSA003705",19,31,1
"HGSSA015503",13,71,276
"PLSSA000204",21,106,1
"HGSSA002430",13,68,127
"TSSSA002443",28,21,13
"OCSSA001463",20,374,1
"OCSSA000121",20,392,4
"HGSSA001503",99,999,1
"PLSSA015551",12,12,1
"TCSSA016756",30,38,2
"VZSSA004860",30,147,435
"OCSSA004152",20,213,437
"TLSSA001480",29,8,1
"MSSSA000080",19,3,1
"SPSSA017313",9,5,5
"NLSSA004046",20,352,1
"NTSSA001845",18,12,1
"GTSSA016796",32,5,3
"SLSSA000024",30,39,1
"PLSSA015551",21,89,124
"GTSSA003600",5,30,1
"MSSSA002740",15,62,1
"CSSSA018764",7,2,12
"HGSSA000511",13,32,7
"JCSSA001326",16,5,2
"MSSSA002361",17,27,866
"MNSSA002813",16,52,4
"NTSSA001594",11,7,1
"MCSSA010222",9,16,2
"VZSSA004160",30,205,1
"OCSSA018922",20,364,1
"OCSSA003715",9,11,1
"NTSSA001845",14,97,1
"QTSSA001740",9,999,3
"MSSSA002385",30,193,6
"TSSSA001772",28,31,2
"ZSSSA001861",23,999,1
"MSSSA000466",12,26,5
"DFSSA004002",15,87,2
"DFSSA003722",15,39,1021
"ASSSA000030",32,5,1
"TCSSA004716",20,999,1
"MSSSA002740",1,4,1
"VZSSA001121",30,79,3
"PLSSA008941",21,41,2
"SPSSA001102",21,163,1
"MNSSA002813",11,9,1
"TCSSA001081",30,189,2
"JCSSA002200",14,39,1727
"MCSSA010280",15,20,3
"DFSSA018142",30,30,1
"PLSSA016852",8,999,1
"PLSSA002403",30,6,1
"DGSSA001446",8,32,1
"TCSSA001052",7,45,13
"MSSSA000080",17,19,3371
"TCSSA000014",7,96,1
"DFSSA003536",4,999,1
"VZSSA015545",30,159,1
"HGSSA002425",30,30,1
"SRSSA001583",2,3,1
"GRSSA002863",10,22,1
"GTSSA000310",22,14,14
"TLSSA001376",29,2,319
"DFSSA003664",15,3,1
"JCSSA005584",9,999,3
"YNSSA013423",31,35,6
"PLSSA005664",15,10,1
"MNSSA016504",16,46,1
"JCSSA002224",29,999,8
"TLSSA000944",29,23,1
"JCSSA013050",14,94,315
"ZSSSA001016",1,5,1
"MSSSA000454",15,17,1
"MNSSA003735",16,59,83
"ZSSSA012450",28,28,1
"QRSSA000361",4,999,1
"MNSSA002813",16,103,4126
"OCSSA021133",21,21,1
"TLSSA017831",3,3,1
"SRSSA002295",26,16,1
"OCSSA020030",20,515,1
"CHSSA002390",4,9,1
"GTSSA001092",22,14,18
"CLSSA001141",5,36,1
"PLSSA016893",15,33,1
"MCSSA001636",30,105,1
"PLSSA008512",12,61,1
"JCSSA002195",19,19,22
"TCSSA003514",27,14,1
"HGSSA002430",15,9,3
"OCSSA005383",20,285,351
"DFSSA018166",15,99,5
"BCSSA018046",2,1,1
"YNSSA013440",25,1,1
"CLSSA002710",5,9,1
"GTSSA017443",10,21,9
"MNSSA016516",16,82,219
"ZSSSA013172",32,6,2
"CHSSA000565",8,8,5
"ASSSA000042",1,8,4
"OCSSA019873",20,52,30
"JCSSA003250",24,35,7
"VZSSA015895",30,172,7
"PLSSA008881",21,110,3
"MNSSA002813",16,69,9
"MNSSA001862",16,52,4
"QTSSA001052",28,12,1
"ZSSSA012853",32,7,2
"TCSSA001052",7,111,1
"DGSSA000116",32,10,3
"CSSSA018764",15,106,1
"MCSSA010280",15,99,5
"NTSSA000013",2,999,1
"GTSSA000585",13,999,1
"TLSSA001480",29,51,37
"TLSSA000261",5,33,1
"MCSSA007982",15,52,1
"MCSSA018552",15,36,9261
"PLSSA008425",21,119,142
"PLSSA003646",20,263,1
"GTSSA003361",28,28,1
"JCSSA001401",14,22,17
"PLSSA008641",21,105,8
"TCSSA004564",31,31,1
"MCSSA018750",25,25,1
"GTSSA001454",28,28,1
"JCSSA000165",28,28,1
"JCSSA001326",14,36,2
"PLSSA003260",15,1,2
"DFSSA004142",11,14,1
"VZSSA002970",30,211,2
"GTSSA001215",11,20,4
"HGSSA001503",22,5,1
"QTSSA000475",16,102,1
"SPSSA017132",5,17,1
"NLSSA003153",19,47,2
"VZSSA007696",30,171,26
"OCSSA005383",20,367,85
"JCSSA004930",24,999,2
"VZSSA004032",30,132,1
"HGSSA002430",15,59,8
"MNSSA000170",16,2,150
"SPSSA001102",28,33,2
"PLSSA015534",21,207,3
"VZSSA007660",30,44,3
"OCSSA019873",20,53,2
"PLSSA008881",21,174,5
"GTSSA003793",32,32,1
"PLSSA015230",21,78,2
"OCSSA001463",20,551,75
"VZSSA001355",30,7,1
"CLSSA002710",19,46,1
"JCSSA013692",14,47,512
"HGSSA001503",22,4,6
"PLSSA015411",21,43,1
"MNSSA000836",16,2,2
"MSSSA002373",17,5,1
"CSSSA018781",7,10,3
"QTSSA000475",11,10,1
"MNSSA001874",16,24,3
"OCSSA019132",20,302,4
"OCSSA004152",20,365,11
"MSSSA002863",12,57,2
"GTSSA002096",29,999,1
"GTSSA006495",11,18,1
"MNSSA016533",13,48,2
"PLSSA008512",21,197,1
"VZSSA002965",30,8,3
"ZSSSA000152",9,7,2
"SRSSA002295",21,114,1
"OCSSA000524",20,547,95
"ZSSSA013172",14,67,6
"CSSSA000453",15,45,1
"MSSSA002385",21,17,2
"DFSSA018166",26,30,2
"VZSSA002965",30,92,3
"TSSSA002192",25,999,4
"VZSSA001150",13,13,1
"MNSSA002813",11,20,4
"DFSSA003705",15,2,10
"DFSSA003990",9,12,33
"OCSSA001463",20,274,1
"GTSSA017023",11,13,1
"OCSSA000985",20,404,1
"MSSSA000080",15,122,1
"CSSSA001030",7,106,156
"TLSSA001376",21,61,1
"SPSSA002420",24,38,5
"TLSSA017645",29,40,419
"MCSSA002872",15,118,5
"NTSSA001495",18,14,1
"TLSSA017831",13,1,1
"MCSSA001636",30,193,9
"SLSSA018113",6,999,1
"VZSSA004744",30,180,39
"OCSSA005383",12,12,8
"PLSSA005734",30,61,2
"VZSSA016035",30,167,7
"PLSSA005693",15,15,11
"MCSSA007982",15,90,1
"PLSSA016893",21,211,1
"JCSSA003250",11,20,210
"NLSSA002972",19,41,1
"TCSSA002971",7,96,1
"JCSSA006890",23,999,1
"VZSSA003740",30,151,1
"PLSSA004404",21,75,983
"TLSSA017831",22,9,2
"QRSSA001312",31,98,2
"CSSSA000453",15,24,1
"CCSSA000363",27,11,2
"ASSSA000655",22,14,1
"SPSSA017313",20,999,1
"OCSSA020030",21,114,6
"OCSSA001463",20,51,21
"CMSSA000125",14,16,1
"MCSSA018062",15,14,3
"CSSSA018764",7,49,204
"ZSSSA000152",14,31,1
"SPSSA001703",13,13,53
"MSSSA000466",20,553,3
"HGSSA002430",21,156,1
"DGSSA000191",10,38,322
"VZSSA007882",7,101,1
"PLSSA016893",30,115,1
"MSSSA002740",17,31,9
"TSSSA002810",15,999,18
"TSSSA002431",30,127,1
"NLSSA000855",18,14,2
"TSSSA002793",8,8,1
"PLSSA008941",21,1,3623
"DFSSA000864",30,35,1
"NLSSA000855",19,16,1
"VZSSA004744",19,6,1
"MNSSA016521",16,50,1
"GTSSA016796",11,6,3
"MNSSA016521",22,22,1
"VZSSA004160",30,132,12
"MCSSA010263",12,47,16
"TLSSA017831",29,11,5
"PLSSA008512",21,211,3
"DFSSA000053",15,95,3
"NTSSA001495",18,18,5154
"SRSSA001851",30,193,2
"SRSSA001851",2,1,6
"GTSSA002101",11,9,8
"VZSSA010212",30,49,160
"JCSSA001261",18,6,1
"HGSSA002430",15,109,5
"DFSSA003722",21,114,25
"DFSSA002993",30,30,2
"CSSSA017726",7,59,2
"MCSSA010280",11,33,1
"GTSSA002760",11,20,13
"SRSSA001105",26,1,7
"OCSSA005383",20,437,1
"MSSSA002344",17,7,16
"DFSSA003162",14,122,1
"SRSSA001583",26,58,490
"HGSSA000511",9,10,1
"ZSSSA013143",14,120,3
"MCSSA018750",15,3,1
"JCSSA002562",28,28,1
"MCSSA002872",14,14,1
"TSSSA018070",28,38,4
"CSSSA018875",7,65,1
"PLSSA008512",21,4,4
"NLSSA004046",13,13,15
"PLSSA005104",30,1,9
"VZSSA002690",30,209,1
"DFSSA018142",28,27,1
"CCSSA000363",4,10,9
"TLSSA017831",21,94,1
"OCSSA000121",20,499,21
"VZSSA015411",30,30,5580
"GTSSA017431",21,104,1
"JCSSA001326",14,44,2
"GTSSA001454",24,1,2
"OCSSA021256",7,101,2
"OCSSA001463",20,499,3
"OCSSA000524",20,86,3
"MCSSA000224",15,95,1
"VZSSA000310",30,1,5
"OCSSA001463",20,266,10
"ASSSA000054",22,7,1
"MCSSA000224",15,28,10
"PLSSA008641",21,173,342
"OCSSA003406",20,388,98
"JCSSA007836",14,95,1
"NTSSA000474",25,999,1
"NLSSA000855",30,103,2
"ZSSSA000152",16,52,1
"VZSSA007701",20,173,4
"DFSSA003162",14,67,1
"VZSSA002393",30,148,4
"DFSSA004142",3,8,1
"MCSSA007982",99,99,10
"PLSSA008881",21,36,1
"NTSSA001594",18,20,47
"PLSSA001575",30,30,196
"NLSSA003153",24,28,1
"ASSSA000025",8,29,1
"VZSSA002690",30,39,604
"BCSSA000015",1,999,4
"ZSSSA000152",33,999,3
"JCSSA013506",14,111,1
"CHSSA000372",8,17,3
"ZSSSA013172",8,8,14
"MSSSA002863",17,14,122
"ZSSSA013172",24,1,1
"HGSSA002162",13,19,11
"VZSSA006815",30,108,2
"MNSSA001862",16,92,13
"VZSSA006313",31,3,1
"DFSSA003961",15,63,1
"DFSSA003162",20,413,1
"TCSSA016756",27,6,3
"PLSSA016806",14,999,3
"ZSSSA000152",32,5,2776
"MCSSA002184",16,33,10
"GTSSA004650",16,52,2
"MNSSA002813",25,25,2
"VZSSA004744",30,9,1
"QTSSA001052",22,17,7
"JCSSA013050",14,52,1
"GTSSA004650",15,16,1
"HGSSA015520",30,162,1
"JCSSA000165",14,22,11
"SLSSA000666",25,3,712
"MSSSA002385",17,6,377
"MCSSA010053",13,76,5
"MSSSA000961",20,999,4
"MCSSA007982",15,116,184
"MSSSA002740",12,12,16
"MSSSA000466",15,119,1
"CSSSA017521",7,67,13
"MCSSA005095",12,74,1
"OCSSA003826",28,27,1
"PLSSA016543",21,19,1
"CHSSA002390",8,999,297
"QTSSA001752",22,10,1
"MCSSA010251",13,48,2
"MCSSA006430",30,193,2
"ZSSSA013172",8,999,3
"PLSSA004404",7,7,1
"OCSSA000524",20,569,1
"MNSSA003945",9,7,1
"GRSSA004753",14,999,2
"OCSSA000524",20,164,107
"TCSSA000306",28,28,2
"JCSSA000165",22,7,1
"JCSSA000894",14,83,1
"MCSSA002184",15,22,1
"GRSSA002863",15,999,1
"CHSSA001026",8,31,5
"VZSSA003880",30,42,1
"OCSSA021256",9,7,6
"PLSSA002106",21,19,1
"HGSSA002430",29,45,1
"SRSSA002085",2,2,18
"MCSSA004074",15,87,1
"DFSSA003710",15,76,1
"ZSSSA001395",32,54,1
"CHSSA018514",7,19,1
"TCSSA004564",19,39,1
"MCSSA010053",15,56,1
"SPSSA001032",24,22,22
"DFSSA003961",17,12,2
"SRSSA001011",7,999,2
"SPSSA000752",11,20,1
"DGSSA017312",16,999,1
"PLSSA003552",21,55,1
"TLSSA017925",29,43,5
"VZSSA007660",15,15,4
"CSSSA018776",9,9,2
"JCSSA001326",6,9,25
"PLSSA004404",3,3,1
"OCSSA003406",20,458,1
"HGSSA015532",15,63,3
"JCSSA013815",14,99,1
"YNSSA000570",31,77,2
"DFSSA003722",17,24,1
"MCSSA018750",21,17,1
"SRSSA017666",26,4,2
"SLSSA001540",25,12,97771
"MNSSA016504",16,99,3165
"ZSSSA013172",10,4,1
"TCSSA001040",23,23,5
"JCSSA003250",19,46,1
"BCSSA000913",1,1,57
"MCSSA002020",15,999,624
"HGSSA002430",32,56,1
"DFSSA003961",15,110,1
"MSSSA002740",21,213,1
"JCSSA002113",14,10,1
"CLSSA002466",5,28,96
"GTSSA002760",16,66,1
"DFSSA003710",21,49,1
"VZSSA003361",30,131,6
"SPSSA000752",19,19,456
"VZSSA015661",20,20,1
"ASSSA000025",14,9,1
"ASSSA000054",11,1,5
"DGSSA000191",10,37,97
"CHSSA001755",8,21,15
"MNSSA000462",14,14,9
"JCSSA006890",10,5,1
"MCSSA018750",15,42,2
"GTSSA017501",15,15,1
"PLSSA016893",2,999,1
"GTSSA017023",15,1,1
"PLSSA003646",20,353,82
"PLSSA003132",21,8,1
"CHSSA000676",8,24,6
"MCSSA006430",12,60,1
"MCSSA000224",23,2,1
"SRSSA000504",30,138,1
"DFSSA000596",15,15,492
"JCSSA007066",19,19,2
"ZSSSA013172",15,39,1
"ZSSSA001395",15,999,1
"JCSSA001401",32,56,1
"MSSSA002863",12,18,1
"CSSSA006934",7,90,5
"NLSSA002972",19,23,7
"MCSSA018453",15,39,983
"DFSSA003722",15,64,2
"HGSSA004093",13,47,26
"JCSSA003496",7,106,1
"TCSSA001076",27,14,39
"MNSSA001891",11,15,3
"JCSSA003250",8,37,1
"TCSSA017420",24,24,1
"CHSSA001096",8,5,2
"MCSSA007265",16,999,7
"GTSSA001215",11,11,654
"QTSSA001052",22,9,22857
"OCSSA004152",30,128,1
"TCSSA002971",7,68,2
"OCSSA000524",20,151,12
"OCSSA000985",20,266,1
"VZSSA003740",30,119,3
"VZSSA001355",30,53,41
"GTSSA001454",25,6,1
"QRSSA018001",24,999,1
"JCSSA007066",14,111,2
"SRSSA001612",9,999,1
"OCSSA021116",15,15,1
"YNSSA000565",99,999,9
"MCSSA018622",20,67,1
"DFSSA003541",15,67,2
"PLSSA001802",11,42,1
"MCSSA000224",13,2,1
"HGSSA002162",13,70,85
"VZSSA004860",30,28,5
"PLSSA008272",21,156,29813
"GTSSA004184",22,22,87
"CSSSA004595",7,16,6
"DFSSA003961",21,138,1
"TLSSA001376",31,1,1
"TCSSA000306",30,999,2
"DFSSA003705",12,1,1
"JCSSA003250",16,71,1
"MCSSA018552",21,21,1
"JCSSA007066",17,17,2
"OCSSA000384",20,275,439
"ZSSSA000695",15,15,7
"VZSSA007701",13,17,1
"TLSSA017831",8,999,1
"PLSSA004404",2,2,1
"PLSSA005693",21,43,1
"GTSSA001290",5,30,3
"CCSSA017403",23,23,10
"MSSSA000961",15,112,1
"CHSSA002390",2,3,2
"CCSSA001116",5,5,1
"TLSSA017645",29,46,59
"MNSSA000462",16,26,3
"VZSSA005560",28,38,1
"DFSSA003162",6,6,2
"SPSSA001703",13,53,1
"SPSSA000752",35,999,1
"NLSSA014295",11,11,18
"ZSSSA013143",21,999,1
"VZSSA004032",20,44,8
"DGSSA000640",10,6,219
"DFSSA003705",15,31,91
"VZSSA004674",30,132,1
"SRSSA001612",26,17,1
"GTSSA016796",32,56,10
"OCSSA000985",20,143,1
"MSSSA002361",15,15,20
"VZSSA004744",15,8,1
