"clues","entresidencia","munresidencia","sum"
"MNSSA003735",16,66,16
"OCSSA001463",20,312,1
"DFSSA004002",10,10,1
"JCSSA007066",6,999,3
"PLSSA015551",13,33,1
"JCSSA002224",14,14,115786
"HGSSA001503",13,999,15021
"JCSSA003250",15,27,1
"PLSSA015423",21,203,3
"OCSSA019996",20,410,47
"DFSSA000876",9,5,15664
"DFSSA003961",20,1,1
"CSSSA000453",7,86,1
"MCSSA018675",16,60,5
"VZSSA003361",30,123,1
"HGSSA004093",13,78,14
"TSSSA018514",19,21,1
"DGSSA017872",10,16,268
"NLSSA002581",19,4,1
"ZSSSA000152",10,5,39
"JCSSA013091",11,1,1
"NLSSA014295",19,23,4
"OCSSA019132",99,99,3
"OCSSA000384",20,67,83
"MCSSA007982",20,999,1
"SPSSA017132",30,131,1
"NLSSA003911",33,999,3
"MCSSA006780",22,1,1
"ASSSA000030",1,8,10
"PLSSA005331",21,11,1
"TSSSA002431",30,63,3
"PLSSA005693",13,999,1
"MCSSA018680",15,99,14
"ZSSSA000695",32,48,4
"DFSSA000840",10,5,1
"OCSSA001463",20,426,16
"CSSSA004945",9,999,1
"DGSSA017674",10,34,1
"PLSSA015230",21,104,1
"MNSSA016492",16,46,2
"JCSSA013506",14,14,5442
"VZSSA016035",30,108,1
"VZSSA004580",30,108,4
"PLSSA015090",21,186,2
"SRSSA017671",16,2,1
"TLSSA017645",29,49,21
"MSSSA002740",4,2,1
"GTSSA017414",15,999,4
"DFSSA003162",26,30,3
"ASSSA000030",2,2,2
"PLSSA016806",21,133,53
"PLSSA016806",21,155,15
"PLSSA015090",21,21,4322
"PLSSA008941",21,117,20
"DFSSA003722",13,32,1
"SRSSA001105",26,13,4
"VZSSA015801",30,193,3
"OCSSA019844",30,44,2
"CSSSA017726",7,47,1
"PLSSA003552",21,156,6
"JCSSA001990",14,35,52688
"OCSSA000121",24,999,2
"MCSSA018622",11,20,1
"GTSSA001121",11,44,1
"ZSSSA012450",16,53,4
"MCSSA007265",12,999,2
"MNSSA016475",16,72,4
"MNSSA001891",16,98,6
"PLSSA000081",32,3,6
"GRSSA004753",15,9,1
"MSSSA000080",21,21,3468
"JCSSA005461",18,15,1
"YNSSA001224",7,7,1
"HGSSA002430",7,65,1
"HGSSA015515",13,35,1
"DFSSA000350",15,58,1
"MCSSA014143",15,78,2
"DGSSA001574",10,28,2
"TCSSA017420",20,20,1
"CSSSA018764",20,143,1
"TLSSA017831",6,2,1
"MCSSA010251",15,8,4
"ASSSA000655",32,34,1
"ASSSA000054",32,37,2
"OCSSA001463",20,556,2
"OCSSA001463",20,292,9
"MCSSA001636",27,999,1
"HGSSA015532",13,29,9
"TCSSA016756",19,39,1
"VZSSA001355",30,32,1
"CLSSA002710",22,16,1
"MSSSA000080",13,48,4
"HGSSA015515",15,29,8
"TCSSA001052",19,8,1
"OCSSA000640",29,29,1
"PLSSA008434",21,11,1
"OCSSA019873",20,565,1
"PLSSA016543",13,1,1
"MCSSA003106",17,17,1
"DFSSA003553",9,999,4884
"DFSSA003541",15,35,13
"VZSSA015411",23,1,1
"VZSSA003880",27,2,1
"DFSSA003961",16,87,1
"DFSSA003961",7,999,1
"MCSSA014143",15,15,2
"JCSSA013506",24,24,1
"DFSSA000840",7,29,1
"CSSSA001030",7,69,1
"CSSSA008264",7,108,2
"TLSSA017831",14,999,1
"PLSSA003132",15,27,1
"ASSSA000614",14,1,1
"GTSSA017472",11,32,194
"VZSSA002393",30,81,1
"MCSSA001636",13,16,1
"MNSSA002965",16,52,1
"HGSSA015532",13,46,2
"OCSSA001463",20,561,39
"CLSSA000161",5,16,8
"PLSSA015551",9,999,1
"TLSSA017645",29,9,95
"DFSSA003541",9,10,290
"JCSSA000165",14,86,6
"OCSSA001463",20,473,2
"ZSSSA012450",9,9,2
"OCSSA016764",20,308,1
"OCSSA019873",24,18,1
"CHSSA018444",8,8,12823
"OCSSA020100",20,169,95
"PLSSA015551",21,109,15
"JCSSA013692",14,30,47
"CSSSA005773",7,34,1
"NLSSA003911",19,19,34230
"MSSSA000466",12,40,5
"OCSSA019132",20,230,51
"PLSSA015090",21,116,9284
"OCSSA000384",20,298,9
"YNSSA001224",7,27,1
"MCSSA008945",15,25,110
"DFSSA003944",15,5,3
"GTSSA016912",14,14,2
"SRSSA017671",26,8,10
"PLSSA016811",21,177,2
"MNSSA001862",16,40,30
"MCSSA014143",15,16,4622
"VZSSA016035",21,64,7
"OCSSA018473",20,307,1
"MSSSA002863",11,20,1
"CSSSA003265",7,19,3
"VZSSA002306",30,169,3
"TLSSA001376",29,44,229
"JCSSA006890",21,66,1
"VZSSA015411",19,39,1
"PLSSA002106",21,186,61
"DFSSA018166",9,7,556
"PLSSA009001",21,34,19
"MCSSA003106",15,98,82
"MSSSA001504",17,19,1
"PLSSA000011",21,197,1
"MNSSA016533",21,21,4
"PLSSA003260",21,164,3
"OCSSA019873",20,3,1
"OCSSA000594",20,288,15
"MSSSA000080",2,3,3
"CHSSA018012",8,32,1
"JCSSA002195",6,999,219
"PLSSA000834",21,44,11110
"CSSSA000453",15,111,1
"DFSSA000864",20,20,7
"TCSSA001052",7,25,16
"SPSSA001102",32,38,226
"MSSSA002385",21,148,4
"GRSSA002863",12,20,8
"PLSSA004404",9,3,1
"PLSSA001645",21,134,170
"TLSSA001376",9,17,4
"MSSSA002385",20,1,2
"TCSSA017432",27,6,3
"JCSSA004930",25,11,1
"DFSSA003162",20,40,1
"OCSSA000985",20,394,6
"GTSSA003793",21,114,1
"HGSSA001503",11,15,4
"MCSSA008320",15,124,5
"SRSSA001583",26,16,38
"MNSSA004044",15,15,18
"JCSSA003496",14,38,33
"JCSSA007836",5,5,2
"ZSSSA013143",32,17,8187
"JCSSA003250",16,16,7
"JCSSA001326",14,123,5
"PLSSA000204",20,20,4
"NLSSA004046",24,35,2
"CSSSA018764",7,28,1
"VZSSA003880",30,122,3
"SRSSA001105",26,6,4
"HGSSA000511",1,1,3
"DFSSA000596",15,37,735
"ZSSSA012853",32,8,6
"VZSSA016052",30,6,4
"JCSSA007066",14,83,430
"PLSSA004404",21,164,2
"OCSSA000985",20,110,2
"TSSSA018975",28,15,1
"SPSSA017313",1,5,2
"CSSSA018875",7,46,14
"OCSSA019996",20,36,10
"HGSSA001795",13,13,1703
"YNSSA000570",31,19,11
"PLSSA016806",21,7,262
"PLSSA005693",15,70,1
"MCSSA001636",15,6,3
"DFSSA002993",15,99,1
"NLSSA004046",11,21,2
"YNSSA001224",31,91,1
"NLSSA000855",9,7,1
"TLSSA000944",29,28,12
"MNSSA016521",16,52,3
"TLSSA017913",29,30,79
"SRSSA001583",32,39,1
"MSSSA002863",19,21,2
"GRSSA004753",20,380,1
"SPSSA017313",24,3,6
"CSSSA019645",7,116,1
"JCSSA001326",16,89,6
"TCSSA003135",27,12,3
"MNSSA002813",33,999,2
"NTSSA002084",1,4,1
"TSSSA002810",28,25,18
"PLSSA002106",13,48,3
"JCSSA003496",14,36,3234
"OCSSA004152",15,100,1
"OCSSA004152",20,70,1
"PLSSA008485",21,156,1
"MCSSA006430",21,208,1
"MCSSA018453",9,11,190
"TCSSA004564",7,81,2
"SPSSA001703",24,18,2
"MSSSA002361",17,17,12273
"VZSSA002970",30,28,2
"CHSSA001096",8,40,509
"JCSSA007042",33,999,1
"DFSSA018166",15,43,5
"DFSSA000864",15,33,454
"DFSSA003944",15,65,2
"DFSSA003710",15,20,8
"HGSSA000156",13,9,47
"MSSSA002863",17,6,413
"VZSSA002306",27,999,2
"MNSSA003945",16,19,148
"JCSSA000165",14,93,10
"DFSSA018166",8,19,1
"JCSSA001326",16,34,1
"DFSSA003162",20,20,8
"DFSSA003944",15,44,2
"NLSSA002972",5,35,2
"JCSSA006890",8,8,4
"CLSSA000161",5,2,3
"PLSSA008881",21,117,1
"JCSSA004930",26,26,1
"OCSSA000985",20,365,3
"SRSSA001110",26,15,9
"JCSSA002224",7,999,64
"DFSSA000065",9,3,1
"MNSSA016492",11,5,1
"OCSSA019132",20,199,161
"NLSSA014295",19,41,3
"MCSSA018733",15,12,35145
"MCSSA018622",9,3,4
"BCSSA000913",19,19,1
"DFSSA001511",15,70,22
"OCSSA000384",9,9,1
"DFSSA000835",15,104,1
"OCSSA000121",15,57,2
"PLSSA009001",21,177,1
"PLSSA016806",3,999,1
"JCSSA013050",14,89,4
"VZSSA006313",30,171,28
"PLSSA015534",21,148,7
"SLSSA017594",23,8,1
"JCSSA006890",32,24,1
"GTSSA017443",9,999,2
"OCSSA019996",20,475,2
"CSSSA019645",7,58,1
"MNSSA003735",14,999,2
"OCSSA003715",20,71,99
"NLSSA003911",28,1,1
"SRSSA001851",7,23,2
"CSSSA000453",15,99,1
"VZSSA004860",20,999,10
"NLSSA004046",15,3,1
"OCSSA001463",20,55,1
"HGSSA002162",24,999,2
"PLSSA001575",21,7,2
"VZSSA002393",11,11,1
"CHSSA000664",8,50,2
"MNSSA000170",22,999,1
"PLSSA016811",21,203,8
"HGSSA015561",11,999,2
"BCSSA000440",1,999,1
"MCSSA018412",29,29,1
"VZSSA001355",30,14,38
"DFSSA003990",16,999,2
"MCSSA007265",15,53,15
"VZSSA006972",30,169,2
"DFSSA000835",15,2,2
"JCSSA005135",16,15,1
"SPSSA017313",30,183,1
"SLSSA001540",22,12,2
"TSSSA002431",24,16,2
"TLSSA017913",29,2,1395
"MCSSA007982",21,129,1
"HGSSA015532",13,50,313
"GTSSA003233",31,102,1
"VZSSA015871",30,199,1428
"PLSSA016835",15,999,6
"JCSSA001454",32,28,2
"GTSSA001652",2,1,2
"HGSSA001503",22,6,3
"TLSSA017913",29,44,238
"DGSSA000191",20,5,2
"VZSSA002306",9,17,6
"OCSSA020100",15,57,3
"VZSSA006716",30,18,2
"DFSSA003705",17,6,1
"DFSSA003961",12,22,3
"OCSSA018473",27,27,1
"MNSSA000462",16,1,8
"HGSSA015503",28,28,1
"DFSSA003961",15,20,11
"MCSSA010251",12,22,1
"OCSSA000985",20,518,2
"GTSSA000766",7,7,1
"VZSSA007882",30,145,1058
"DFSSA003722",29,51,1
"DFSSA003722",12,9,1
"DFSSA003956",9,12,3061
"GRSSA004753",15,112,1
"SPSSA017313",28,2,1
"GTSSA001215",16,106,1
"HGSSA002430",29,29,9
"SLSSA000963",28,7,1
"OCSSA016764",20,543,9
"PLSSA000863",21,117,1
"DFSSA003990",9,2,9
"SPSSA000064",15,106,1
"OCSSA020025",20,190,1
"MCSSA018680",15,13,35
"PLSSA015230",21,11,1
"TLSSA017831",7,999,3
"OCSSA000985",20,43,32
"JCSSA004930",14,13,5
"ASSSA000054",10,11,3
"ZSSSA001395",32,29,1
"TLSSA017831",15,5,16
"DFSSA000840",15,21,2
"OCSSA020445",99,99,1
"MCSSA004074",15,50,15
"ZSSSA000613",32,12,7
"PLSSA002106",21,44,777
"PLSSA008881",21,140,25
"MSSSA000466",9,6,23
"OCSSA000594",20,59,2
"JCSSA001401",14,124,11
"OCSSA019132",12,5,1
"JCSSA000631",12,12,7
"TCSSA001052",7,109,36
"ASSSA000025",16,35,1
"JCSSA004930",14,99,15
"CSSSA005773",7,72,9
"DFSSA004142",11,26,1
"TLSSA017925",21,8,2
"JCSSA005135",11,7,1
"VZSSA007660",30,162,1
"HGSSA002425",21,999,2
"DFSSA000876",9,9,8785
"MCSSA006874",16,97,1
"VZSSA003595",30,131,2
"TCSSA017420",12,75,4
"ZSSSA002141",32,26,53
"JCSSA002224",10,999,20
"JCSSA001326",14,114,6
"JCSSA007836",14,106,1
"CSSSA004945",2,999,3
"ASSSA000025",14,35,386
"PLSSA008641",21,74,1
"JCSSA004930",14,44,1
"NTSSA000474",12,61,1
"PLSSA003646",30,133,1
"DFSSA003956",16,53,1
"CLSSA000231",24,28,2
"PLSSA008425",11,29,1
"VZSSA010212",34,999,1
"ASSSA000025",11,28,2
"HGSSA002430",30,87,10
"VZSSA000310",30,10,9520
"SLSSA000666",25,8,257
"TLSSA000261",20,20,1
"VZSSA002306",15,104,11
"VZSSA002965",30,128,14
"JCSSA013045",14,76,23
"CSSSA005773",7,47,2
"OCSSA021080",21,177,1
"TLSSA001376",15,120,1
"TCSSA001040",7,999,1161
"PLSSA000863",22,22,3
"PLSSA015090",21,4,4
"OCSSA001463",20,433,1
"JCSSA000165",14,58,134
"ZSSSA002141",1,2,1
"PLSSA015090",30,193,2
"DFSSA001926",9,8,742
"ZSSSA013143",32,3,3
"SPSSA002770",24,40,38
"MNSSA016480",16,63,693
"MCSSA004231",14,14,1
"VZSSA004913",30,140,8
"PLSSA016835",30,118,1
"NTSSA000474",14,94,8
"SRSSA002085",21,21,1
"GRSSA004753",11,17,4
"DFSSA003985",29,999,2
"JCSSA013692",16,49,1
"NLSSA004046",7,46,1
"JCSSA003986",15,106,1
"CLSSA002710",15,999,2
"JCSSA000894",16,76,40
"DFSSA004002",15,52,7
"VZSSA004860",15,81,1
"CLSSA000231",30,193,1
"CLSSA000161",19,6,1
"ZSSSA000152",8,35,1
"JCSSA003496",18,12,11
"SPSSA017144",34,999,1
"ZSSSA000152",18,17,2
"DFSSA003722",32,32,2
"TLSSA017645",15,25,1
"CSSSA000412",7,7,2
"DFSSA002660",12,999,3
"VZSSA002393",14,999,1
"HGSSA015520",30,202,17
"TSSSA002805",28,35,9
"MSSSA001504",12,58,1
"YNSSA013440",31,20,1
"JCSSA001261",14,22,48472
"ZSSSA000152",32,23,10
"DFSSA018142",10,999,1
"OCSSA000985",20,125,24
"MCSSA005556",21,999,1
"TLSSA017831",29,3,13
"CSSSA000453",7,93,5
"MNSSA001862",12,1,1
"MNSSA002965",16,78,2
"PLSSA008512",15,9,1
"MSSSA002863",2,3,1
"JCSSA007066",18,15,11
"CCSSA000544",4,4,38333
"MSSSA002740",12,65,1
"MCSSA018062",15,5,9
"SRSSA001851",26,55,5
"MCSSA000871",15,58,3
"JCSSA000631",16,16,2
"VZSSA004032",20,184,25
"OCSSA000985",20,452,8
"QRSSA001044",23,5,73080
"PLSSA002106",21,15,2
"CHSSA002390",26,26,5
"VZSSA002690",30,70,1
"GRSSA003686",12,20,2
"MCSSA000871",15,104,1
"GRSSA003686",12,76,1
"SRSSA001583",26,17,9
"MCSSA010246",15,38,1
"SRSSA000562",29,18,1
"MNSSA001862",16,83,1
"JCSSA003250",26,30,1
"MSSSA002740",12,35,3
"SPSSA000064",32,56,1
"PLSSA008881",21,67,1
"TCSSA001081",30,39,37
"MCSSA010251",15,37,6
"PLSSA003646",21,188,3
"VZSSA000416",30,158,2
"MCSSA001636",15,63,3
"TSSSA002810",31,999,1
"ZSSSA012450",32,42,91
"CLSSA001421",5,3,17
"VZSSA007882",27,14,2
"PLSSA015090",21,23,1
"TCSSA001064",2,2,1
"QTSSA012911",22,16,1
"MCSSA010222",15,123,16
"DFSSA003541",15,26,1
"HGSSA000511",15,14,2
"PLSSA003552",21,4,15
"TCSSA004564",32,19,1
"MSSSA002385",21,18,1
"TLSSA017831",20,999,2
"ZSSSA000695",10,4,416
"GTSSA017443",11,23,3
"MCSSA010053",22,1,1
"MNSSA000836",16,25,224
"GRSSA002863",16,112,1
"MCSSA010292",15,89,2
"ZSSSA000152",4,4,1
"SPSSA017313",20,512,1
"HGSSA002430",13,73,121
"JCSSA007066",11,4,1
"VZSSA015435",7,61,1
"SLSSA001716",25,11,7
"QTSSA000475",15,74,2
"JCSSA007066",13,999,5
"JCSSA004230",14,69,1
"MCSSA008863",15,35,2
"GTSSA001290",11,20,18
"DFSSA003956",21,11,38
"GTSSA004650",17,17,2
"VZSSA007701",21,999,78
"MCSSA010053",30,30,2
"OCSSA000343",20,510,88
"TCSSA017420",4,5,2
"DGSSA017242",10,38,1
"MCSSA018412",9,10,1
"JCSSA003496",18,999,1
"TLSSA001480",29,27,49
"DFSSA003722",14,53,1
"PLSSA016893",21,210,1
"HGSSA015515",29,5,7
"NLSSA000855",5,27,1
"CHSSA000565",8,65,23
"VZSSA015661",20,999,1
"MNSSA016475",20,999,1
"TCSSA001076",4,3,3
"ZSSSA001395",32,15,73
"MCSSA007982",10,999,1
"VZSSA016035",30,131,31
"DGSSA000640",10,10,66
"PLSSA015551",21,167,313
"JCSSA002200",32,11,3
"OCSSA018922",20,205,1
"DFSSA003973",28,999,44
"NLSSA002972",19,21,7
"VZSSA004085",1,1,1
"TLSSA000261",17,7,1
"PLSSA001645",21,44,2
"MCSSA014143",15,33,162
"OCSSA005383",20,73,12
"ASSSA000025",32,999,140
"JCSSA003496",22,14,1
"DFSSA003973",2,2,18
"SRSSA001851",20,537,1
"SPSSA001032",15,999,1
"SPSSA017313",24,16,17
"CSSSA001030",7,7,37660
"MSSSA002385",21,20,1
"GRSSA004753",16,19,1
"GTSSA004650",32,32,1
"JCSSA000165",14,29,1
"DGSSA000191",10,28,508
"MCSSA007586",9,9,1
"PLSSA008881",21,195,1
"CHSSA002390",8,67,1
"TLSSA000722",29,4,1
"TLSSA001183",30,30,8
"NLSSA004046",28,32,9
"TSSSA002805",28,42,1
"TLSSA001376",2,4,4
"JCSSA006890",32,33,17
"MCSSA010222",15,44,22
"DGSSA000116",10,7,97
"OCSSA000640",30,193,2
"CLSSA001141",5,28,33
"GTSSA017525",11,27,4
"DFSSA003722",15,114,1
"BCSSA000440",99,999,70
"MSSSA001504",17,25,7
"JCSSA000165",30,30,7
"TSSSA001562",10,5,1
"TCSSA004716",21,17,3
"QRSSA018001",26,38,1
"ZSSSA013172",8,17,6
"QTSSA001740",11,28,1
"OCSSA000524",20,224,1
"SPSSA000945",24,36,344
"MNSSA000836",16,108,1
"VZSSA006576",30,124,1
"YNSSA000565",32,50,2
"PLSSA008485",21,73,1
"ZSSSA000613",14,72,1
"OCSSA001463",20,480,1
"QRSSA018001",23,2,2
"GRSSA012535",12,8,1
"SRSSA001851",26,59,8
"MCSSA001636",30,94,1
"SPSSA017144",33,999,1
"OCSSA004152",30,30,5
"VZSSA006313",30,34,2
"TSSSA000401",21,89,2
"DFSSA002491",5,5,1
"SPSSA001102",15,9,1
"SPSSA002654",24,4,1
"JCSSA013815",8,999,2
"JCSSA013506",14,39,48
"CSSSA018764",27,7,1
"DFSSA004142",15,2,12
"CLSSA002710",9,999,4
"JCSSA002200",18,999,1
"MSSSA000466",15,999,275
"MCSSA007265",15,10,5
"CHSSA001755",16,53,1
"TSSSA001772",29,999,1
"VZSSA015661",30,44,2
"VZSSA004860",30,19,47
"NLSSA014295",12,999,10
"GTSSA002101",11,23,53
"JCSSA007066",21,120,2
"MCSSA007982",15,51,19
"NLSSA000855",10,23,1
"GTSSA003151",12,26,1
"TSSSA002810",28,43,44
"PLSSA008641",21,19,1
"CHSSA000676",8,12,1
"VZSSA004860",23,999,3
"OCSSA001463",20,68,479
"DFSSA004002",35,999,5
"MNSSA002446",16,32,1784
"DFSSA018166",20,319,1
"TSSSA018975",30,999,1
"JCSSA002562",14,120,4
"MNSSA016480",16,67,2
"DFSSA004002",30,143,1
"OCSSA003406",20,391,2
"JCSSA002632",14,21,460
"GTSSA003081",21,133,1
"MCSSA002184",15,3,58
"DFSSA003961",20,18,3
"CLSSA002466",20,20,1
"VZSSA004744",21,65,1
"OCSSA004152",20,43,1
"DFSSA018166",12,11,1
"VZSSA015411",30,87,2
"MSSSA002361",15,83,3
"DFSSA018166",30,1,1
"GTSSA002096",14,109,14
"VZSSA003740",31,90,1
"PLSSA016893",21,208,3
"JCSSA005584",11,17,2
"OCSSA020655",20,43,1
"PLSSA003132",21,18,1
"VZSSA007882",20,184,2
"DFSSA003162",13,69,5
"ASSSA000655",32,15,2
"TLSSA001376",32,32,1
"JCSSA007066",15,58,6
"JCSSA013506",16,67,1
"MCSSA000982",15,55,2
"PLSSA005331",17,999,8
"SPSSA000262",13,33,1
"OCSSA000985",20,71,2
"QRSSA000023",15,56,1
"MNSSA016475",9,3,1
"DFSSA003961",13,47,1
"MNSSA016533",9,999,23
"DFSSA004002",12,1,5
"OCSSA001463",20,550,23
"MNSSA016533",9,7,4
"VZSSA004580",21,199,8
"JCSSA002113",12,34,2
"GTSSA002096",11,33,3
"SPSSA017144",22,999,1
"SPSSA000752",9,7,1
"MCSSA004791",15,66,1
"SRSSA000562",21,18,2
"TLSSA000261",30,44,1
"VZSSA007701",20,8,2
"PLSSA000081",21,196,382
"CSSSA018740",7,3,1
"MCSSA002872",15,98,1
"CHSSA018012",8,3,5
"DFSSA003553",9,5,8
"VZSSA007701",7,999,2
"MNSSA000170",1,1,1
"PLSSA000834",9,9,7
"GTSSA017530",15,37,1
"SRSSA001110",14,120,1
"NLSSA000855",5,30,4
"JCSSA007066",6,4,1
"VZSSA002306",21,132,1
"TLSSA017925",29,54,27
"PLSSA016543",21,132,4
"OCSSA021256",15,15,4
"VZSSA002690",14,8,1
"MCSSA010222",16,67,2
"GTSSA017414",11,32,1
"SRSSA001851",30,3,2
"GTSSA017501",24,28,5
"OCSSA000594",3,1,1
"YNSSA013423",27,2,1
"DGSSA017872",15,99,1
"GTSSA000766",11,14,5
"DFSSA000864",5,999,2
"MCSSA008320",14,120,1
"TLSSA001142",29,56,48
"MCSSA004231",15,59,51
"PLSSA015411",9,999,1
"JCSSA003986",14,9,1
"PLSSA015230",21,48,1
"SPSSA000356",28,999,2
"TCSSA002353",31,41,2
"SPSSA002654",24,17,12
"OCSSA019873",20,505,6
"OCSSA000594",15,999,1
"CHSSA000664",8,43,1
