,0.0,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09,0.1,0.11,0.12,0.13,0.14,0.15,0.16,0.17,0.18,0.19,0.2,0.21,0.22,0.23,0.24,0.25,0.26,0.27,0.28,0.29,0.3,0.31,0.32,0.33,0.34,0.35,0.36,0.37,0.38,0.39,0.4,0.41,0.42,0.43,0.44,0.45,0.46,0.47,0.48,0.49,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.57,0.58,0.59,0.6,0.61,0.62,0.63,0.64,0.65,0.66,0.67,0.68,0.69,0.7,0.71,0.72,0.73,0.74,0.75,0.76,0.77,0.78,0.79,0.8,0.81,0.82,0.83,0.84,0.85,0.86,0.87,0.88,0.89,0.9,0.91,0.92,0.93,0.94,0.95,0.96,0.97,0.98,0.99
0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.125,1.125,1.5
0.01,1.0,1.25,2.0,1.125,1.0,2.0,1.375,1.125,1.0,1.625,1.0,1.625,1.125,1.0,1.125,1.25,2.25,1.25,1.75,1.125,1.125,1.125,1.0,1.25,1.25,1.75,1.125,1.625,1.0,1.0,1.625,1.0,1.0,1.125,1.625,1.125,1.625,1.0,1.125,1.125,2.0,2.25,1.0,1.0,1.375,1.125,1.5,1.0,1.5,1.0,1.125,1.125,1.0,1.75,1.25,1.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.125,1.0,1.375,1.0,1.375,1.0,1.125,1.0,1.0,1.5,1.375,1.25,1.0,1.25,1.0,1.0,1.0,1.375,1.0,1.25,1.0,1.25,1.0,1.125,1.375,1.125,1.0,1.0,1.0,1.0,1.0,1.0,1.125,1.125,1.125,1.375,1.375
0.02,1.125,1.125,2.125,1.125,2.25,1.25,1.125,2.0,1.25,1.5,1.25,1.25,1.375,1.0,1.625,1.125,1.0,1.25,1.0,1.125,1.0,1.0,1.125,1.375,1.125,1.375,1.125,1.0,2.25,1.5,1.625,1.875,1.125,1.0,1.25,1.125,1.5,1.75,1.125,1.125,1.25,1.25,1.25,1.75,1.875,1.375,1.375,1.375,1.25,1.125,1.75,1.0,1.625,2.875,1.0,1.5,1.125,1.25,1.0,1.125,1.625,1.375,2.25,1.125,1.125,1.125,1.75,1.125,1.125,1.5,1.375,1.0,1.0,1.0,1.125,1.0,1.125,1.0,1.0,1.0,1.25,1.0,1.125,1.625,1.0,1.0,1.125,1.0,1.25,1.125,1.125,1.25,1.125,1.0,1.0,1.0,1.0,1.0,1.0,1.625
0.03,1.875,2.125,2.0,1.375,1.375,1.75,1.375,1.875,2.25,2.75,1.25,1.75,1.75,1.625,1.0,1.25,2.625,2.25,1.375,2.125,1.25,2.0,1.375,1.125,2.25,1.875,1.75,1.25,1.0,1.125,2.125,1.875,1.625,1.125,1.875,2.625,1.625,3.0,2.0,1.0,1.25,1.625,1.25,1.125,1.25,1.375,1.375,1.625,1.75,1.625,2.125,1.5,1.625,1.75,1.125,1.0,1.5,1.5,1.25,1.125,1.125,1.5,1.5,1.0,1.125,1.375,2.25,1.125,1.125,1.0,1.125,1.0,1.0,1.5,1.375,1.25,1.375,1.375,1.125,1.0,1.125,1.125,1.125,1.0,1.25,1.25,1.125,1.0,1.25,1.125,1.125,1.125,1.25,1.0,1.0,1.125,1.0,1.5,1.25,1.5
0.04,1.875,1.875,1.875,3.125,2.625,1.5,2.0,5.125,2.5,1.5,2.875,2.125,2.25,2.0,1.875,2.375,2.375,2.75,1.375,1.75,1.625,2.0,1.625,2.5,1.5,2.75,1.875,1.75,1.625,1.875,2.0,1.375,1.75,1.125,1.375,1.5,1.375,1.75,1.625,1.875,2.25,1.5,2.75,1.0,1.0,1.75,2.625,1.375,1.125,1.625,1.5,2.0,1.75,1.125,2.25,1.875,1.375,1.0,1.0,1.5,1.375,1.0,2.125,1.375,1.625,1.125,1.125,1.25,1.875,1.75,1.25,1.5,1.125,1.625,1.5,2.125,1.0,1.125,1.125,1.875,1.125,1.0,1.125,1.5,1.125,1.25,1.5,1.0,1.0,1.125,1.0,1.0,1.25,1.125,1.0,1.125,1.25,1.125,1.625,1.25
0.05,2.5,2.5,2.0,2.375,2.5,3.5,2.25,2.25,1.5,2.0,1.625,1.625,2.625,1.75,2.25,3.0,1.625,2.5,2.875,1.5,1.75,2.375,1.625,1.5,1.875,3.875,2.125,1.5,2.125,1.0,1.625,2.0,1.75,1.5,1.75,1.0,1.75,2.625,2.125,1.875,3.0,1.875,2.125,1.75,2.0,1.625,1.5,1.75,2.0,1.375,2.0,1.375,1.75,1.5,1.75,1.625,1.75,2.0,2.0,1.125,1.375,1.125,2.75,1.25,1.75,1.375,1.625,2.625,1.0,1.875,1.25,1.5,1.375,1.75,1.75,1.375,1.25,1.25,1.0,1.0,1.375,1.25,1.25,1.125,1.25,1.0,1.25,1.125,1.0,1.25,1.25,1.25,1.0,1.375,1.25,1.125,1.25,1.125,1.25,2.0
0.06,4.5,1.625,2.0,4.875,1.625,4.25,2.625,1.625,3.625,4.625,2.5,4.25,1.875,3.0,2.125,2.375,2.125,2.625,2.5,4.875,1.75,2.625,3.125,2.75,3.125,2.5,2.125,2.625,2.375,2.125,3.875,2.375,1.5,1.5,1.125,3.625,2.875,1.5,3.125,1.875,2.625,2.0,3.625,2.25,2.375,1.625,2.625,1.375,2.0,1.625,2.375,3.5,1.5,2.0,1.25,1.125,1.375,2.25,1.25,1.875,1.625,2.125,1.625,1.625,1.375,1.375,1.875,1.25,1.25,1.5,1.125,1.125,1.125,1.75,1.375,2.375,1.625,1.5,1.0,1.375,1.125,1.75,1.125,1.75,1.25,1.125,1.25,1.875,1.25,1.0,1.25,1.5,1.125,1.25,1.125,1.125,1.5,1.0,1.75,1.75
0.07,3.625,3.125,2.25,2.25,2.5,3.125,2.0,2.375,3.125,5.25,2.5,3.375,3.125,2.25,3.5,4.5,4.875,2.75,3.75,3.125,2.125,6.5,4.0,1.375,5.25,3.5,1.75,2.75,3.625,3.125,2.0,3.125,1.5,3.625,2.75,2.25,1.75,1.75,1.625,2.875,3.75,1.875,1.875,1.75,2.25,1.75,2.375,2.125,2.0,2.125,1.75,2.25,2.125,2.125,1.75,3.25,1.75,2.0,2.375,1.625,1.75,2.875,2.25,1.25,1.75,2.125,1.75,2.75,2.375,1.875,1.25,1.625,1.875,1.25,1.375,1.125,1.375,1.375,1.75,1.125,1.375,1.5,1.125,1.25,1.125,1.0,1.0,1.5,1.625,1.25,1.125,1.125,1.125,1.25,1.0,1.0,1.375,1.0,1.5,1.5
0.08,1.875,3.5,6.875,4.375,2.875,3.375,4.375,3.625,2.5,2.25,4.25,3.625,4.375,3.125,5.0,5.125,3.75,3.0,2.75,2.0,2.125,2.375,4.0,2.125,4.0,4.125,2.875,1.5,2.375,2.75,2.25,3.125,3.5,5.375,3.25,3.0,2.375,3.125,2.75,2.75,1.875,2.875,2.5,2.25,2.25,2.5,1.875,1.875,2.375,1.875,2.75,4.0,1.5,1.25,2.375,2.375,2.125,1.5,1.375,2.5,2.125,1.875,1.75,2.625,1.875,1.125,1.25,2.0,1.625,2.125,1.25,1.5,1.25,1.25,2.375,1.5,1.25,1.75,1.5,1.375,1.25,1.25,1.25,1.625,1.25,1.375,1.25,1.625,1.25,1.25,1.375,1.625,1.0,1.0,1.5,1.0,1.0,1.0,1.5,1.625
